vf,participantId,rbase,approach,jnd_50_r,jnd_50,jnd_r
dist_line_sd,ie1hedak,0.3,below,0.059838982,1.938769,0.05
dist_line_sd,ie1hedak,0.6,above,0.066683852,2.061480625,0.075
dist_line_sd,ie1hedak,0.6,below,0.055862832,1.857298413,0.065
ellipse_area,ie1hedak,0.3,above,0.076828929,2015.418951,0.066666667
ellipse_area,ie1hedak,0.3,below,0.059838982,1171.383696,0.05
ellipse_area,ie1hedak,0.6,above,0.066683852,3915.386489,0.075
ellipse_area,ie1hedak,0.6,below,0.055862832,2739.278739,0.065
ellipse_minor,ie1hedak,0.3,above,0.076828929,14.31007654,0.066666667
ellipse_minor,ie1hedak,0.3,below,0.059838982,10.51554544,0.05
ellipse_minor,ie1hedak,0.6,above,0.066683852,16.64912004,0.075
ellipse_minor,ie1hedak,0.6,below,0.055862832,12.78852572,0.065
conf_bounding_box_perp,ie1hhyfz,0.6,above,0.083529133,14.99456776,0.060833333
conf_bounding_box_perp,ie1hhyfz,0.6,below,0.082352581,13.00767802,0.086666667
conf_bounding_box_perp,ie1hhyfz,0.3,above,0.215198037,29.62295334,0.165
conf_bounding_box_perp,ie1hhyfz,0.3,below,0.252130178,29.82989693,0.285
dist_line_sd,ie1hhyfz,0.6,above,0.083529133,2.252333981,0.060833333
dist_line_sd,ie1hhyfz,0.6,below,0.082352581,2.331308976,0.086666667
dist_line_sd,ie1hhyfz,0.3,above,0.215198037,5.220308269,0.165
dist_line_sd,ie1hhyfz,0.3,below,0.252130178,4.873088289,0.285
ellipse_area,ie1hhyfz,0.6,above,0.083529133,5103.179037,0.060833333
ellipse_area,ie1hhyfz,0.6,below,0.082352581,3940.726855,0.086666667
ellipse_area,ie1hhyfz,0.3,above,0.215198037,7112.515293,0.165
ellipse_area,ie1hhyfz,0.3,below,0.252130178,3036.618437,0.285
ellipse_minor,ie1hhyfz,0.6,above,0.083529133,21.30665466,0.060833333
ellipse_minor,ie1hhyfz,0.6,below,0.082352581,18.65312211,0.086666667
ellipse_minor,ie1hhyfz,0.3,above,0.215198037,42.70366569,0.165
ellipse_minor,ie1hhyfz,0.3,below,0.252130178,41.71669809,0.285
conf_bounding_box_perp,ie1hmd45,0.3,above,0.104473345,15.47853686,0.128333333
conf_bounding_box_perp,ie1hmd45,0.3,below,0.102320835,13.31462712,0.081666667
conf_bounding_box_perp,ie1hmd45,0.6,above,0.04735649,9.84753497,0.036666667
conf_bounding_box_perp,ie1hmd45,0.6,below,0.042028498,9.936576488,0.046666667
dist_line_sd,ie1hmd45,0.3,above,0.104473345,3.269294677,0.128333333
dist_line_sd,ie1hmd45,0.3,below,0.102320835,2.773023922,0.081666667
dist_line_sd,ie1hmd45,0.6,above,0.04735649,1.812783204,0.036666667
dist_line_sd,ie1hmd45,0.6,below,0.042028498,1.619122195,0.046666667
ellipse_area,ie1hmd45,0.3,above,0.104473345,2869.060027,0.128333333
ellipse_area,ie1hmd45,0.3,below,0.102320835,1823.393132,0.081666667
ellipse_area,ie1hmd45,0.6,above,0.04735649,2727.163112,0.036666667
ellipse_area,ie1hmd45,0.6,below,0.042028498,2114.972375,0.046666667
ellipse_minor,ie1hmd45,0.3,above,0.104473345,19.67748527,0.128333333
ellipse_minor,ie1hmd45,0.3,below,0.102320835,17.72146221,0.081666667
ellipse_minor,ie1hmd45,0.6,above,0.04735649,11.7051988,0.036666667
ellipse_minor,ie1hmd45,0.6,below,0.042028498,9.732378874,0.046666667
conf_bounding_box_perp,ie1hnb6e,0.3,above,0.097501881,16.8390912,0.116666667
conf_bounding_box_perp,ie1hnb6e,0.3,below,0.12328988,15.64750238,0.138333333
conf_bounding_box_perp,ie1hnb6e,0.6,above,0.073348335,14.4728366,0.1
conf_bounding_box_perp,ie1hnb6e,0.6,below,0.068472431,10.8580145,0.098333333
dist_line_sd,ie1hnb6e,0.3,above,0.097501881,2.096029651,0.116666667
dist_line_sd,ie1hnb6e,0.3,below,0.12328988,2.222941202,0.138333333
dist_line_sd,ie1hnb6e,0.6,above,0.073348335,2.166102997,0.1
dist_line_sd,ie1hnb6e,0.6,below,0.068472431,2.056141406,0.098333333
ellipse_area,ie1hnb6e,0.3,above,0.097501881,2621.703365,0.116666667
ellipse_area,ie1hnb6e,0.3,below,0.12328988,2142.84306,0.138333333
ellipse_area,ie1hnb6e,0.6,above,0.073348335,4399.02622,0.1
ellipse_area,ie1hnb6e,0.6,below,0.068472431,3312.625562,0.098333333
ellipse_minor,ie1hnb6e,0.3,above,0.097501881,18.26795171,0.116666667
ellipse_minor,ie1hnb6e,0.3,below,0.12328988,21.27377939,0.138333333
ellipse_minor,ie1hnb6e,0.6,above,0.073348335,18.52242759,0.1
ellipse_minor,ie1hnb6e,0.6,below,0.068472431,15.58318236,0.098333333
conf_bounding_box_perp,ie1hr3ph,0.3,above,0.367576091,58.3257014,0.49
conf_bounding_box_perp,ie1hr3ph,0.3,below,0.252186303,31.64749837,0.288333333
conf_bounding_box_perp,ie1hr3ph,0.6,above,0.242202564,55.8710116,0.32
conf_bounding_box_perp,ie1hr3ph,0.6,below,0.123950822,18.80911023,0.07
dist_line_sd,ie1hr3ph,0.3,above,0.367576091,9.85214444,0.49
dist_line_sd,ie1hr3ph,0.3,below,0.252186303,4.740806031,0.288333333
dist_line_sd,ie1hr3ph,0.6,above,0.242202564,8.724924733,0.32
dist_line_sd,ie1hr3ph,0.6,below,0.123950822,3.592581722,0.07
ellipse_area,ie1hr3ph,0.3,above,0.367576091,16596.25162,0.49
ellipse_area,ie1hr3ph,0.3,below,0.252186303,3116.073932,0.288333333
ellipse_area,ie1hr3ph,0.6,above,0.242202564,20350.46245,0.32
ellipse_area,ie1hr3ph,0.6,below,0.123950822,5295.070287,0.07
ellipse_minor,ie1hr3ph,0.3,above,0.367576091,82.16838013,0.49
ellipse_minor,ie1hr3ph,0.3,below,0.252186303,41.82040259,0.288333333
ellipse_minor,ie1hr3ph,0.6,above,0.242202564,75.55662882,0.32
ellipse_minor,ie1hr3ph,0.6,below,0.123950822,26.85587679,0.07
conf_bounding_box_perp,ie1iekbv,0.3,above,0.167244289,22.09188093,0.18
conf_bounding_box_perp,ie1iekbv,0.3,below,0.131585537,17.94343553,0.14
conf_bounding_box_perp,ie1iekbv,0.6,above,0.064934361,10.57422744,0.06
conf_bounding_box_perp,ie1iekbv,0.6,below,0.080723456,12.70646902,0.075
dist_line_sd,ie1iekbv,0.3,above,0.167244289,3.677170663,0.18
dist_line_sd,ie1iekbv,0.3,below,0.131585537,2.839239658,0.14
dist_line_sd,ie1iekbv,0.6,above,0.064934361,2.326617398,0.06
dist_line_sd,ie1iekbv,0.6,below,0.080723456,2.303558039,0.075
ellipse_area,ie1iekbv,0.3,above,0.167244289,5007.115298,0.18
ellipse_area,ie1iekbv,0.3,below,0.131585537,2252.681698,0.14
ellipse_area,ie1iekbv,0.6,above,0.064934361,3812.103113,0.06
ellipse_area,ie1iekbv,0.6,below,0.080723456,3870.855966,0.075
ellipse_minor,ie1iekbv,0.3,above,0.167244289,32.22169926,0.18
ellipse_minor,ie1iekbv,0.3,below,0.131585537,22.65595453,0.14
ellipse_minor,ie1iekbv,0.6,above,0.064934361,16.21132456,0.06
ellipse_minor,ie1iekbv,0.6,below,0.080723456,18.30053908,0.075
conf_bounding_box_perp,ie1iri1s,0.3,above,0.108465895,16.49524238,0.1
conf_bounding_box_perp,ie1iri1s,0.3,below,0.236258023,26.60934317,0.276666667
conf_bounding_box_perp,ie1iri1s,0.6,above,0.050816609,11.15861832,0.056666667
conf_bounding_box_perp,ie1iri1s,0.6,below,0.085409534,15.13570759,0.071666667
dist_line_sd,ie1iri1s,0.3,above,0.108465895,2.686944385,0.1
dist_line_sd,ie1iri1s,0.3,below,0.236258023,4.353151335,0.276666667
dist_line_sd,ie1iri1s,0.6,above,0.050816609,1.618986947,0.056666667
dist_line_sd,ie1iri1s,0.6,below,0.085409534,2.485813124,0.071666667
