participantId,rbase,approach,jnd_50_r,jnd_r
ie1qkr0a,0.5,below,0.07226106,0.037083333
ie1qkr0a,0.8,above,0.040303457,0.046666667
ie1qkr0a,0.8,below,0.04153784,0.053333333
ie1qlt4b,0.5,above,0.156892667,0.201666667
ie1qlt4b,0.5,below,0.166414479,0.116666667
ie1qlt4b,0.8,above,0.104142143,0.086666667
ie1qlt4b,0.8,below,0.074545325,0.105
ie1qyaih,0.5,above,0.146293672,0.106666667
ie1qyaih,0.5,below,0.097278455,0.091666667
ie1qyaih,0.8,above,0.091399657,0.08
ie1qyaih,0.8,below,0.10971809,0.131666667
ie1rr497,0.8,above,0.032724069,0.046666667
ie1rr497,0.8,below,0.021927261,0.0325
ie1rr497,0.5,above,0.068143974,0.095
ie1rr497,0.5,below,0.073724409,0.062916667
ie1rsgqn,0.5,above,0.115796779,0.13
ie1rsgqn,0.5,below,0.144633587,0.168333333
ie1rsgqn,0.8,above,0.094835729,0.086666667
ie1rsgqn,0.8,below,0.077361434,0.103333333
ie1rxg96,0.5,above,0.141055716,0.155
ie1rxg96,0.5,below,0.20348623,0.135
ie1rxg96,0.8,above,0.077256361,0.085
ie1rxg96,0.8,below,0.077424439,0.08
